GRIFFIN   GEAR SAMPLE    TL
GRIFFIN   TRAWL     11.1 205
GRIFFIN   TRAWL     11.1 213
GRIFFIN   TRAWL     11.1 161
GRIFFIN   TRAWL     11.1 106
GRIFFIN   TRAWL     11.1 82
GRIFFIN   TRAWL     11.2 74
GRIFFIN   TRAWL     11.2 99
GRIFFIN   TRAWL     11.2 112
GRIFFIN   TRAWL     11.3 221
GRIFFIN   TRAWL     11.3 229
GRIFFIN   TRAWL     11.3 205
GRIFFIN   TRAWL     11.3 216
GRIFFIN   TRAWL     11.3 177
GRIFFIN   TRAWL     11.3 155
GRIFFIN   TRAWL     11.3 167
GRIFFIN   TRAWL     11.3 155
GRIFFIN   TRAWL     11.3 172
GRIFFIN   TRAWL     11.3 160
GRIFFIN   TRAWL     11.3 152
GRIFFIN   TRAWL     11.3 111
GRIFFIN   TRAWL     11.3 148
GRIFFIN   TRAWL     11.3 82
GRIFFIN   TRAWL     11.3 106
GRIFFIN   TRAWL     11.3 111
GRIFFIN   TRAWL     11.3 152
GRIFFIN   TRAWL     11.3 131
GRIFFIN   TRAWL     11.3 96
GRIFFIN   TRAWL     11.3 96
GRIFFIN   TRAWL     11.3 75
GRIFFIN   TRAWL     11.3 98
GRIFFIN   TRAWL     11.3 81
GRIFFIN   TRAWL     11.3 108
GRIFFIN   TRAWL     11.3 88
GRIFFIN   TRAWL     11.3 91
GRIFFIN   TRAWL     11.3 103
GRIFFIN   TRAWL     11.3 97
GRIFFIN   TRAWL     11.3 103
GRIFFIN   TRAWL     11.3 156
GRIFFIN   TRAWL     11.3 217
GRIFFIN   TRAWL     12.1 176
GRIFFIN   TRAWL     12.1 261
GRIFFIN   TRAWL     12.1 221
GRIFFIN   TRAWL     12.1 183
GRIFFIN   TRAWL     12.1 230
GRIFFIN   TRAWL     12.1 196
GRIFFIN   TRAWL     12.1 165
GRIFFIN   TRAWL     12.1 186
GRIFFIN   TRAWL     12.1 184
GRIFFIN   TRAWL     12.1 162
GRIFFIN   TRAWL     12.1 145
GRIFFIN   TRAWL     12.1 151
GRIFFIN   TRAWL     12.1 95
GRIFFIN   TRAWL     12.2 197
GRIFFIN   TRAWL     12.2 166
GRIFFIN   TRAWL     12.2 141
GRIFFIN   TRAWL     12.2 172
GRIFFIN   TRAWL     12.2 103
GRIFFIN   TRAWL     12.2 112
GRIFFIN   TRAWL     12.2 98
GRIFFIN   TRAWL     12.2 90
GRIFFIN   TRAWL     12.2 99
