SEX	MAT	MTL	Age
male	1	236	2
male	1	236	2
male	1	237	2
male	1	237	2
male	1	237	3
male	1	237	2
male	1	237	2
male	1	237	2
male	1	237	3
male	1	237	2
male	1	237	2
male	1	237	2
male	1	237	1
male	1	237	2
male	1	238	2
male	1	238	2
male	1	238	2
male	1	238	3
male	1	238	2
male	1	239	2
male	1	239	2
male	1	239	2
male	1	239	4
male	1	239	3
male	1	239	3
male	1	239	1
male	1	239	2
male	1	239	2
male	1	239	2
male	1	239	2
male	1	239	2
male	1	240	3
male	1	240	4
male	1	240	3
male	1	240	2
male	1	240	3
male	1	240	2
male	1	240	2
male	1	240	2
male	1	240	1
male	1	240	1
male	1	240	1
male	1	240	2
male	1	240	2
male	1	241	2
male	1	241	2
male	1	241	3
male	1	241	2
male	1	241	3
male	1	241	2
male	1	241	2
male	1	241	1
male	1	241	1
male	1	241	2
male	1	241	2
male	1	242	2
male	1	242	2
male	1	242	2
male	1	242	2
male	1	242	2
male	1	242	2
male	1	242	2
male	1	242	2
male	1	242	2
male	1	243	2
male	1	243	2
male	1	243	2
male	1	243	2
male	1	243	2
male	1	243	2
male	1	243	2
male	1	243	2
male	1	243	1
male	1	243	3
male	1	244	4
male	1	244	2
male	1	244	2
male	1	244	2
male	1	244	2
male	1	244	2
male	1	244	2
male	1	244	2
male	1	244	1
male	1	244	3
male	1	244	3
male	1	244	2
male	1	245	4
male	1	245	3
male	1	245	2
male	1	245	2
male	1	245	2
male	1	245	2
male	1	245	2
male	1	245	2
male	1	245	2
male	1	245	2
male	1	245	2
male	1	245	3
male	1	245	2
male	1	245	2
male	1	245	2
male	1	245	3
male	1	245	2
male	1	245	3
male	1	245	2
male	1	245	2
male	1	245	2
male	1	245	2
male	1	245	2
male	1	245	2
male	1	245	2
male	1	245	2
male	1	246	3
male	1	246	2
male	1	246	2
male	1	246	3
male	1	246	2
male	1	246	2
male	1	246	4
male	1	246	2
male	1	246	2
male	1	246	2
male	1	246	2
male	1	246	2
male	1	246	2
male	1	246	2
male	1	246	2
male	1	246	2
male	1	246	2
male	1	246	2
male	1	247	2
male	1	247	4
male	1	247	3
male	1	247	2
male	1	247	3
male	1	247	2
male	1	247	2
male	1	247	2
male	1	247	3
male	1	247	3
male	1	247	2
male	1	247	3
male	1	247	3
male	1	247	2
male	1	248	3
male	1	248	3
male	1	248	2
male	1	248	2
male	1	248	2
male	1	248	2
male	1	248	2
male	1	248	2
male	1	249	3
male	1	249	2
male	1	249	2
male	1	249	2
male	1	249	2
male	1	249	2
male	1	249	2
male	1	249	2
male	1	249	2
male	1	249	2
male	1	249	2
male	1	249	2
male	1	249	3
male	1	250	4
male	1	250	4
male	1	250	2
male	1	250	2
male	1	250	2
male	1	250	2
male	1	250	2
male	1	250	2
male	1	250	2
male	1	250	3
male	1	250	2
male	1	250	5
male	1	250	1
male	1	250	2
male	1	250	2
male	1	250	2
male	1	250	2
male	1	251	4
male	1	251	3
male	1	251	3
male	1	251	2
male	1	251	2
male	1	251	3
male	1	251	2
male	1	251	2
male	1	251	4
male	1	251	2
male	1	251	2
male	1	251	2
male	1	251	2
male	1	251	2
male	1	252	3
male	1	252	2
male	1	252	2
male	1	252	4
male	1	252	2
male	1	252	2
male	1	252	2
male	1	252	2
male	1	252	3
male	1	252	2
male	1	252	3
male	1	252	2
male	1	252	2
male	1	252	2
male	1	252	2
male	1	252	3
male	1	252	2
male	1	253	3
male	1	253	2
male	1	253	2
male	1	253	2
male	1	253	2
male	1	253	2
male	1	253	3
male	1	253	2
male	1	254	4
male	1	254	2
male	1	254	2
male	1	254	2
male	1	254	3
male	1	254	2
male	1	255	2
male	1	255	4
male	1	255	2
male	1	255	4
male	1	255	6
male	1	255	3
male	1	255	2
male	1	255	2
male	1	255	2
male	1	255	2
male	1	256	4
male	1	256	2
male	1	256	2
male	1	256	4
male	1	256	2
male	1	256	2
male	1	256	3
male	1	257	3
male	1	257	4
male	1	257	2
male	1	257	3
male	1	257	4
male	1	257	3
male	1	257	4
male	1	257	4
male	1	257	2
male	1	257	2
male	1	257	2
male	1	257	2
male	1	258	3
male	1	258	2
male	1	258	3
male	1	258	3
male	1	258	2
male	1	258	3
male	1	258	2
male	1	258	2
male	1	258	2
male	1	258	3
male	1	259	2
male	1	259	3
male	1	259	2
male	1	259	2
male	1	259	2
male	1	259	2
male	1	259	2
male	1	259	3
male	1	259	3
male	1	260	4
male	1	260	4
male	1	260	3
male	1	260	2
male	1	260	2
male	1	260	2
male	1	260	2
male	1	260	2
male	1	260	2
male	1	260	2
male	1	260	3
male	1	260	2
male	1	260	3
male	1	260	2
male	1	260	2
male	1	260	2
male	1	260	2
male	1	260	2
male	1	260	2
male	1	260	3
male	1	261	2
male	1	261	3
male	1	261	4
male	1	261	4
male	1	261	3
male	1	261	3
male	1	261	4
male	1	261	2
male	1	261	3
male	1	261	2
male	1	261	3
male	1	261	2
male	1	261	3
male	1	261	2
male	1	261	3
male	1	261	2
male	1	262	4
male	1	262	2
male	1	262	4
male	1	262	2
male	1	262	3
male	1	262	2
male	1	262	3
male	1	262	2
male	1	262	2
male	1	263	3
male	1	263	4
male	1	263	4
male	1	263	3
male	1	263	4
male	1	263	2
male	1	263	2
male	1	263	2
male	1	263	2
male	1	263	2
male	1	263	2
male	1	263	3
male	1	263	4
male	1	264	2
male	1	264	2
male	1	264	3
male	1	264	2
male	1	264	2
male	1	265	3
male	1	265	2
male	1	265	2
male	1	265	2
male	1	265	3
male	1	265	3
male	1	265	3
male	1	265	3
male	1	265	3
male	1	265	3
male	1	265	3
male	1	265	3
male	1	265	2
male	1	265	3
male	1	265	3
male	1	266	2
male	1	266	4
male	1	266	7
male	1	266	3
male	1	266	4
male	1	266	2
male	1	266	3
male	1	266	2
male	1	266	3
male	1	266	2
male	1	266	3
male	1	266	3
male	1	267	3
male	1	267	3
male	1	267	7
male	1	267	3
male	1	267	2
male	1	267	3
male	1	267	2
male	1	267	3
male	1	267	2
male	1	267	2
male	1	267	2
male	1	267	2
male	1	267	2
male	1	268	3
male	1	268	3
male	1	268	3
male	1	268	2
male	1	268	3
male	1	269	4
male	1	269	4
male	1	269	4
male	1	269	2
male	1	269	2
male	1	269	2
male	1	269	2
male	1	269	4
male	1	269	2
male	1	269	2
male	1	269	2
male	1	269	2
male	1	269	3
male	1	270	3
male	1	270	5
male	1	270	3
male	1	270	2
male	1	270	3
male	1	270	3
male	1	270	3
male	1	270	2
male	1	270	3
male	1	270	4
male	1	270	3
male	1	270	3
male	1	270	3
male	1	270	3
male	1	270	2
male	1	270	2
male	1	270	2
male	1	270	2
male	1	271	4
male	1	271	4
male	1	271	4
male	1	271	4
male	1	271	3
male	1	271	2
male	1	271	2
male	1	271	4
male	1	271	4
male	1	271	2
male	1	271	2
male	1	272	4
male	1	272	4
male	1	272	3
male	1	272	2
male	1	272	2
male	1	272	2
male	1	272	2
male	1	272	2
male	1	273	8
male	1	273	4
male	1	273	3
male	1	273	3
male	1	273	3
male	1	273	2
male	1	274	4
male	1	274	4
male	1	274	3
male	1	274	2
male	1	275	2
male	1	275	3
male	1	275	3
male	1	275	4
male	1	275	3
male	1	275	5
male	1	275	3
male	1	275	4
male	1	275	4
male	1	275	4
male	1	275	4
male	1	275	4
male	1	275	4
male	1	275	3
male	1	275	2
male	1	275	3
male	1	275	3
male	1	276	4
male	1	276	3
male	1	276	3
male	1	276	4
male	1	276	3
male	1	276	3
male	1	276	3
male	1	276	2
male	1	276	2
male	1	276	3
male	1	276	3
male	1	277	3
male	1	277	3
male	1	277	3
male	1	277	4
male	1	277	2
male	1	277	2
male	1	278	3
male	1	278	4
male	1	278	3
male	1	278	4
male	1	278	3
male	1	278	3
male	1	278	3
male	1	278	3
male	1	278	2
male	1	278	2
male	1	279	4
male	1	279	4
male	1	279	3
male	1	279	2
